data,premio_2,premio_5,premio_10,premio_20
2005-07-01,NA,NA,8.733786982248521,NA
2005-08-01,NA,NA,8.743470928736816,NA
2005-09-01,NA,NA,8.750395322626092,NA
2005-10-01,NA,NA,8.640963313609468,NA
2005-11-01,NA,NA,8.64596375739645,NA
2005-12-01,NA,NA,8.667091312533621,NA
2006-01-01,NA,NA,8.690468329747176,NA
2006-02-01,NA,NA,8.32679610453649,NA
2006-03-01,NA,NA,7.546753473115513,NA
2006-04-01,NA,NA,8.323889381985536,NA
2006-05-01,NA,NA,9.062948023130716,NA
2006-06-01,NA,NA,9.757075584671739,NA
2006-07-01,NA,NA,9.483570371935757,NA
2006-08-01,NA,NA,8.93056483148958,NA
2006-09-01,NA,NA,8.771443713017751,NA
2006-10-01,NA,NA,8.582264652014652,NA
2006-11-01,NA,NA,8.335162056213019,NA
2006-12-01,NA,NA,8.022030753659296,NA
2007-01-01,NA,NA,7.7533243679397525,NA
2007-02-01,NA,NA,7.56526684746877,NA
2007-03-01,NA,NA,7.481078671328671,NA
2007-04-01,NA,NA,6.778713017751479,NA
2007-05-01,NA,NA,6.131905594405595,NA
2007-06-01,NA,NA,6.147452958579882,NA
2007-07-01,NA,NA,6.39648843464228,NA
2007-08-01,NA,NA,7.151500643169539,NA
2007-09-01,NA,NA,6.9072377763936466,NA
2007-10-01,NA,NA,6.726255177514793,NA
2007-11-01,NA,NA,7.162943639053255,NA
2007-12-01,NA,NA,7.309382201806291,NA
2008-01-01,NA,NA,7.258480029585799,NA
2008-02-01,NA,NA,7.158552709436313,NA
2008-03-01,NA,NA,7.314493047337278,NA
2008-04-01,NA,NA,7.378880388841927,NA
2008-05-01,NA,NA,7.11861849112426,NA
2008-06-01,NA,NA,7.170679487179488,NA
2008-07-01,NA,NA,7.533784666838178,NA
2008-08-01,NA,NA,7.46532326007326,NA
2008-09-01,NA,NA,7.8021458445400755,NA
2008-10-01,NA,NA,9.024592552096733,NA
2008-11-01,NA,NA,9.093620340236686,NA
2008-12-01,NA,NA,8.283680540613233,NA
2009-01-01,NA,NA,7.4492683150183145,NA
2009-02-01,NA,NA,7.270193951347798,NA
2009-03-01,NA,NA,7.042763717052178,NA
2009-04-01,NA,NA,7.170402958579881,NA
2009-05-01,NA,NA,6.968881508875739,NA
2009-06-01,NA,NA,6.643537052690899,NA
2009-07-01,NA,NA,6.552997491638796,NA
2009-08-01,NA,NA,6.445465060580445,NA
2009-09-01,NA,NA,6.3149877430262045,NA
2009-10-01,NA,NA,6.551505142293604,NA
2009-11-01,NA,NA,6.721313461538461,NA
2009-12-01,NA,NA,6.609885018827327,NA
2010-01-01,NA,NA,6.476143713017751,NA
2010-02-01,NA,NA,6.391898011176857,NA
2010-03-01,NA,NA,6.389939606380242,6.220772257607926
2010-04-01,NA,NA,6.3222667159763315,6.132625222929937
2010-05-01,NA,6.743573493813878,6.536777613412228,6.273097725204732
2010-06-01,NA,6.668513806706114,6.449302056917442,6.262794297846527
2010-07-01,NA,6.507036444324906,6.393080016137708,6.270490677475391
2010-08-01,NA,6.2141624193114575,6.153991460462614,6.082317544875506
2010-09-01,NA,6.16484023668639,6.075303043110735,5.9906669093114955
2010-10-01,NA,6.039206619822485,5.969776701183432,5.89350101910828
2010-11-01,NA,6.063846412721894,5.9695622041420116,5.8274687898089175
2010-12-01,NA,6.16506579624389,5.979480833547723,5.754370756023262
2011-01-01,NA,6.236712383770076,5.961411242603551,5.693147467394601
2011-02-01,NA,6.476811279585799,6.144250073964497,5.786897834394905
2011-03-01,NA,6.509595153150017,6.233401061608075,5.866926039715249
2011-04-01,NA,6.527554188726254,6.277305045157272,5.889845256453235
2011-05-01,NA,6.565138717052179,6.258144029047876,5.8031385060799074
2011-06-01,NA,6.61608231191885,6.27980325443787,5.857797998180164
2011-07-01,NA,6.64436443364328,6.371378909551987,6.083111798604792
2011-08-01,NA,6.156043220993054,6.124094417288397,6.029367599003046
