data,ipca,selic,cambio,premio_2,premio_5,premio_10,premio_20
2015-01-01,1.24,0.94,2.6342,3.5678493204263226,5.890161418397478,5.923325629360024,6.023916166211707
2015-02-01,1.22,0.82,2.8165,2.95433245874211,6.0963425684673735,6.189581740976646,6.283673036093418
2015-03-01,1.32,1.04,3.1395,2.646213210130048,6.283737623762376,6.367968905616676,6.434377996525767
2015-04-01,0.71,0.95,3.0432,4.520706023271732,6.380515242313705,6.207294458598726,6.138897324840764
2015-05-01,0.74,0.99,3.0617,4.905516389079017,6.46889981761334,6.169821401273885,6.03828203821656
2015-06-01,0.79,1.07,3.1117,NA,6.496314238566714,6.141254109796785,NA
2015-07-01,0.62,1.18,3.2231,NA,6.568496896028276,6.415297978399336,NA
2015-08-01,0.22,1.11,3.5143,NA,7.032313146728207,6.9925426751592354,NA
2015-09-01,0.54,1.11,3.9065,NA,7.519946276582545,7.48677415832575,NA
2015-10-01,0.82,1.11,3.8801,NA,7.254013437057991,7.408671276918411,NA
2015-11-01,1.01,1.06,3.7765,NA,7.034523124022929,7.1329150318471335,NA
2015-12-01,0.96,1.16,3.8711,NA,7.376942950874034,7.35471320208454,NA
2016-01-01,1.27,1.06,4.0524,NA,6.877672681083898,7.358282866242038,NA
2016-02-01,0.9,1,3.9737,NA,6.610745591179616,7.309004022795843,NA
2016-03-01,0.43,1.16,3.7039,NA,6.31359408309252,6.639966994788651,NA
2016-04-01,0.61,1.06,3.5658,NA,6.292978764981761,6.328676878980891,NA
2016-05-01,0.78,1.11,3.5393,NA,6.007966016526464,5.9683412799514715,NA
2016-06-01,0.35,1.16,3.4245,NA,6.065385143777536,6.070358540822235,NA
2016-07-01,0.52,1.11,3.2756,NA,6.17777922529095,6.064609159842281,NA
2016-08-01,0.44,1.22,3.2097,NA,6.012997299729973,5.812568847712797,NA
2016-09-01,0.08,1.11,3.2564,NA,6.040660810441946,5.9072953594176525,NA
2016-10-01,0.26,1.05,3.1858,NA,5.878200169359041,5.751590063694268,NA
2016-11-01,0.18,1.04,3.342,NA,6.184195023449713,6.1010548407643315,NA
2016-12-01,0.3,1.12,3.3523,NA,6.029792446349898,6.048896467863346,NA
2017-01-01,0.38,1.09,3.1966,NA,5.611218516588501,5.631276797088262,NA
2017-02-01,0.33,0.87,3.1042,NA,5.437479155810318,5.3647270346779905,5.229230769230769
2017-03-01,0.25,1.05,3.1279,NA,5.151548020934817,5.213541844364442,5.148695652173913
2017-04-01,0.14,0.79,3.1362,NA,5.034950495049505,5.210824345364473,5.2683333333333335
2017-05-01,0.31,0.93,3.2095,5.025963642922997,5.191036643137998,5.413908280254777,5.429545454545455
2017-06-01,-0.23,0.81,3.2954,4.973403062110722,5.303495744311273,5.5617690021231425,5.618571428571428
2017-07-01,0.24,0.8,3.2061,4.282391870766024,4.895809573438547,5.35509669396421,5.446190476190476
2017-08-01,0.19,0.8,3.1509,3.5176157192378277,4.351524741146884,4.994333481030186,5.219565217391304
2017-09-01,0.16,0.64,3.1348,3.35458507034914,4.170259314747264,4.7969052229299365,5.062
2017-10-01,0.42,0.64,3.1912,3.0022921164296883,3.989307302910742,4.743127145890203,5.1066666666666665
2017-11-01,0.28,0.57,3.2594,2.9194990537834946,4.192229162666959,5.061788535031847,5.3589473684210525
2017-12-01,0.44,0.54,3.2919,2.996328426263679,4.368728178738927,5.234050700636943,5.4645
2018-01-01,0.29,0.58,3.2106,2.8140612670289586,4.1134953100573215,4.935982529572339,5.231428571428571
2018-02-01,0.32,0.47,3.2415,2.988239892100665,4.127553873034362,4.827460247283627,5.100588235294118
2018-03-01,0.09,0.53,3.2792,2.7529910171468277,3.9795545174818234,4.740641310282075,5.102380952380952
2018-04-01,0.22,0.52,3.4075,2.450165388719323,3.8719566862701305,4.765734667879891,5.270952380952381
2018-05-01,0.4,0.52,3.6361,2.7220864041291346,4.2442106503883466,5.081788838337883,5.461904761904762
2018-06-01,1.26,0.52,3.7732,3.2532961115660437,4.908110002729597,5.657879344858963,5.849853088785474
2018-07-01,0.33,0.54,3.8288,3.5935936375592448,4.9639948882106255,5.569184167424932,5.76
